Konstantinos Mavropanos,194cm,26년,€1700만,683,0.00,0.79,0.00,0.04,42.30,84.9%,64.83,0.00,5.01,76.0%,0.13,0.00
Aaron Wan-Bissaka,183cm,27년,€2100만,905,0.10,0.40,0.00,0.06,33.31,82.7%,64.14,0.90,4.57,52.9%,0.00,0.00
Max Kilman,192cm,27년,€3700만,"1,080",0.00,0.33,0.08,0.01,42.67,86.6%,62.08,0.08,3.75,66.2%,0.25,0.00
Jean-Clair Todibo,190cm,24년,€4000만,559,0.00,0.32,0.00,0.00,44.28,89.6%,65.37,0.81,4.67,54.7%,0.00,0.00
Ashley Young,175cm,39년,€55만,876,0.00,0.31,0.31,0.13,30.21,75.8%,62.26,0.00,4.11,60.6%,0.21,0.10
Seamus Coleman,177cm,36년,€55만,90,0.00,1.00,0.00,0.01,22.00,71.0%,53.00,0.00,4.00,66.7%,0.00,0.00
James Tarkowski,185cm,32년,€1700만,"1,080",0.00,0.67,0.00,0.08,31.83,81.3%,53.67,0.17,6.33,65.0%,0.25,0.00
Michael Keane,191cm,31년,€650만,810,0.22,0.89,0.00,0.00,28.11,83.5%,45.67,0.22,3.22,51.8%,0.44,0.00
Vitalii Mykolenko,180cm,25년,€3300만,836,0.00,0.75,0.00,0.04,24.76,79.9%,53.72,0.22,4.63,59.7%,0.00,0.00
Jarrad Branthwaite,195cm,22년,€4700만,276,0.00,0.33,0.00,0.01,37.17,83.8%,57.07,0.00,4.57,53.8%,0.00,0.00
Nathan Patterson,189cm,23년,€1900만,999,0.00,0.36,0.18,0.09,26.85,73.0%,63.69,0.54,4.77,44.5%,0.36,0.00
Jannik Vestergaard,199cm,32년,€350만,360,0.00,0.25,0.00,0.01,50.75,90.6%,66.25,0.00,4.00,64.0%,0.25,0.00
Ricardo Pereira,175cm,31년,€850만,148,0.00,0.00,0.00,0.02,39.53,86.7%,62.03,0.00,3.65,60.0%,0.61,0.00
Wout Faes,187cm,26년,€2500만,"1,080",0.08,0.58,0.00,0.01,41.33,86.0%,62.50,0.25,4.08,56.3%,0.17,0.00
James Justin,183cm,26년,€1800만,983,0.18,0.73,0.09,0.02,31.13,80.4%,63.91,0.55,5.77,62.4%,0.09,0.00
Luke Thomas,181cm,23년,€650만,918,0.00,1.00,0.00,0.06,61.33,87.2%,94.33,0.00,5.33,66.7%,0.00,0.00
Memeh Caleb Okoli,191cm,23년,€830만,718,0.00,0.38,0.00,0.01,46.63,87.3%,68.19,0.00,4.76,59.4%,0.13,0.00
Victor Kristiansen,181cm,21년,€1800만,950,0.00,0.00,0.00,0.05,31.74,80.3%,64.80,0.66,5.02,50.0%,0.09,0.00
Craig Dawson,188cm,34년,€250만,748,0.00,0.48,0.00,0.01,43.44,87.2%,61.84,0.00,4.09,65.4%,0.12,0.00
Matt Doherty,185cm,32년,€350만,212,0.00,0.85,0.00,0.03,27.17,78.0%,59.43,0.42,6.37,78.9%,0.00,0.00
Nélson Semedo,180cm,31년,€1500만,871,0.00,0.52,0.21,0.07,28.00,81.9%,56.11,0.41,5.37,50.0%,0.41,0.00
Santiago Bueno,189cm,26년,€850만,445,0.00,0.20,0.00,0.01,35.60,85.4%,53.19,0.20,4.04,50.0%,0.00,0.00
Rayan Ait Nouri,179cm,23년,€3000만,"1,017",0.27,1.15,0.18,0.05,32.12,85.6%,60.88,0.88,5.22,49.6%,0.35,0.00
Toti Gomes,188cm,25년,€1700만,828,0.00,0.11,0.11,0.03,40.76,84.7%,62.93,0.76,4.67,63.2%,0.43,0.00
Yerson Mosquera,187cm,23년,€500만,442,0.00,0.41,0.00,0.01,41.54,86.1%,62.31,0.20,5.90,61.7%,0.41,0.00
