Keane Lewis-Potter,170cm,23년,€1500만,0.00,1.26,0.11,18.48,83.8%,40.33,3.36,0.74,4.31,48.8%,3.78,0.11,0.00
Kevin Schade,183cm,23년,€2600만,0.00,1.60,0.00,10.34,60.4%,37.07,4.28,1.43,8.20,52.9%,2.85,0.18,0.00
Marcus Rashford,180cm,27년,€6500만,0.22,1.19,0.11,22.09,76.4%,42.13,3.47,0.54,2.92,36.5%,2.06,0.22,0.00
Joshua Zirkzee,193cm,23년,€5400만,0.20,2.59,0.20,20.11,75.4%,39.62,5.18,1.39,3.78,35.8%,3.78,0.20,0.00
Amad Diallo,174cm,22년,€2200만,0.16,2.21,0.47,37.11,84.8%,65.53,7.58,1.58,5.53,47.9%,4.74,0.32,0.00
Rasmus Højlund,191cm,21년,€7000만,0.20,1.02,0.00,12.68,82.7%,28.84,3.07,1.43,3.89,31.7%,2.86,0.00,0.00
Alejandro Garnacho,180cm,20년,€5000만,0.34,3.72,0.11,23.12,82.0%,49.96,6.99,2.14,3.50,32.0%,5.53,0.11,0.00
Enes Ünal,185cm,27년,€2000만,0.00,5.13,0.57,14.24,62.5%,46.14,6.84,1.71,8.54,41.7%,3.42,0.57,0.00
Marcus Tavernier,178cm,25년,€2500만,0.10,2.41,0.20,26.15,81.3%,56.21,2.51,2.61,5.13,40.2%,3.82,0.20,0.00
Luis Sinisterra,172cm,25년,€2000만,0.44,5.29,0.44,23.38,82.8%,56.47,8.82,0.88,6.62,40.5%,6.18,0.00,0.00
Antoine Semenyo,185cm,24년,€2200만,0.34,4.42,0.08,20.82,78.5%,50.40,6.03,1.27,6.80,46.5%,5.44,0.42,0.00
Evanilson,183cm,25년,€3700만,0.45,2.69,0.00,7.95,67.0%,23.51,5.49,1.12,4.70,45.2%,2.13,0.00,0.00
Dango Ouattara,177cm,22년,€2500만,0.20,1.43,0.20,13.50,58.9%,53.59,6.75,1.02,6.75,45.8%,4.70,0.00,0.00
Michail Antonio,180cm,34년,€500만,0.12,2.04,0.12,11.86,72.3%,33.32,3.83,1.68,3.48,34.9%,2.40,0.12,0.00
Jarrod Bowen,174cm,27년,€5500만,0.26,2.38,0.26,17.10,78.5%,44.91,4.93,2.30,4.93,38.7%,5.27,0.00,0.00
