Dwight McNeil,183cm,25년,€2500만,979,0.28,1.93,0.28,0.33,26.02,81.8%,53.04,1.93,4.87,0.09,0.00
James Garner,182cm,23년,€2500만,251,0.00,0.72,0.00,0.02,18.65,72.2%,49.84,0.36,5.02,0.36,0.00
Harry Winks,178cm,28년,€1500만,866,0.00,0.73,0.21,0.12,48.95,88.9%,66.72,0.52,5.82,0.31,0.00
Wilfred Ndidi,183cm,27년,€2000만,990,0.00,1.00,0.36,0.10,30.55,81.0%,57.82,1.55,5.09,0.36,0.00
Oliver Skipp,185cm,24년,€1800만,480,0.00,0.19,0.00,0.04,31.13,85.6%,47.81,0.94,3.94,0.56,0.00
Boubakary Soumaré,188cm,25년,€1800만,228,0.00,0.39,0.00,0.11,51.32,89.0%,71.84,0.79,7.50,1.18,0.00
Bilal El Khannous,180cm,20년,€3200만,278,0.00,0.65,0.00,0.12,35.61,80.3%,59.89,1.94,2.59,0.00,0.00
Mario Lemina,184cm,31년,€1300만,972,0.09,1.11,0.28,0.09,28.70,82.7%,51.85,0.56,4.63,0.19,0.00
Jean-Ricner Bellegarde,170cm,26년,€1800만,566,0.16,0.95,0.16,0.08,17.97,84.3%,38.96,1.27,3.18,0.32,0.00
Thomas Doyle,172cm,23년,€800만,263,0.00,1.37,0.34,0.04,54.75,86.5%,77.34,0.34,6.84,0.00,0.00
Luke Cundle,178cm,22년,€550만,180,0.20,1.34,0.28,0.13,35.33,83.2%,55.20,1.22,4.55,0.20,0.00
Boubacar Traore,183cm,23년,€620만,804,0.00,2.00,0.00,0.01,20.00,90.9%,32.00,2.00,2.00,0.00,0.00
Andre,176cm,23년,€2700만,454,0.00,0.40,0.00,0.04,37.47,94.0%,55.31,0.99,5.95,0.40,0.00
Joao Gomes,176cm,23년,€4000만,"1,020",0.18,0.97,0.09,0.02,33.62,84.5%,54.79,1.32,5.74,0.35,0.00
Rodrigo Gomes,171cm,21년,€1500만,207,0.00,0.87,0.00,0.02,13.04,61.2%,38.26,2.17,1.30,0.00,0.00
Sam Morsy,173cm,33년,€95만,983,0.09,0.55,0.09,0.07,46.88,90.3%,62.90,0.46,4.85,0.37,0.00
Massimo Luongo,176cm,32년,€55만,145,0.00,0.00,0.00,0.00,19.86,72.7%,39.72,1.24,6.21,0.00,0.00
Conor Chaplin,178cm,27년,€750만,286,0.00,1.57,0.31,0.09,25.17,75.5%,45.63,0.31,3.15,0.31,0.00
Kalvin Phillips,177cm,28년,€2800만,541,0.00,1.00,0.00,0.04,34.44,81.2%,62.05,0.83,5.82,0.17,0.17
Jens-Lys Cajuste,188cm,25년,€1300만,333,0.00,0.54,0.00,0.04,27.30,85.6%,49.19,0.54,4.32,0.27,0.00
Will Hughes,185cm,29년,€950만,546,0.00,0.82,0.00,0.08,31.48,79.9%,56.04,1.32,5.11,0.82,0.00
Jefferson Lerma,179cm,30년,€2500만,442,0.00,1.22,0.00,0.08,40.11,79.8%,64.14,1.02,7.74,0.61,0.00
Daichi Kamada,184cm,28년,€2200만,621,0.00,1.16,0.00,0.07,34.64,81.6%,59.28,1.74,3.91,0.29,0.14
Eberechi Eze,178cm,26년,€6000만,809,0.11,4.12,0.11,0.16,30.26,81.0%,61.52,1.45,5.12,0.00,0.00
Cheick Oumar Doucouré,180cm,24년,€4000만,193,0.00,1.40,0.00,0.01,36.84,89.8%,59.22,0.93,6.53,0.00,0.00
Adam Wharton,182cm,20년,€3500만,625,0.00,1.30,0.00,0.09,40.32,81.2%,66.24,1.44,7.34,0.00,0.00
Adam Lallana,172cm,36년,€130만,316,0.00,0.85,0.57,0.13,56.39,88.0%,82.31,1.71,4.84,1.14,0.00
Maxwel Cornet,179cm,28년,€1000만,71,0.00,1.27,0.00,0.01,21.55,89.5%,45.63,0.00,2.54,1.27,0.00
Joe Aribo,183cm,28년,€550만,655,0.14,1.24,0.00,0.08,37.24,88.9%,58.67,0.96,4.67,0.00,0.00
William Smallbone,173cm,24년,€550만,241,0.00,1.49,0.00,0.20,32.12,82.7%,59.75,0.75,2.61,0.00,0.00
Flynn Downes,172cm,25년,€950만,987,0.00,0.55,0.00,0.10,50.24,92.1%,68.66,1.09,3.01,0.36,0.00
Lesley Ugochukwu,188cm,20년,€2000만,209,0.00,0.43,0.00,0.03,34.88,87.1%,50.81,0.43,4.74,0.43,0.00
Tyler Dibling,178cm,18년,€7.5만,660,0.14,1.36,0.00,0.11,22.64,83.8%,48.55,1.91,3.14,0.55,0.00
Mateus Fernandes,178cm,20년,€830만,800,0.11,1.01,0.11,0.08,33.53,84.9%,61.43,1.35,4.39,0.34,0.00
